,City,Latitude,Longitude,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
69,Iqaluit,57.16156729265896,-70.24175864228992,75.0,CA,1522682700.0,90.0,32.0,32.21
70,Clyde River,73.50402147261869,-69.129979330314,90.0,CA,1522681200.0,85.0,10.4,11.41
71,Souillac,-30.54783262999529,63.438596199554894,75.0,MU,1522681200.0,78.0,82.4,4.7
73,Champerico,11.26982600348336,-93.63531203945055,40.0,GT,1522681200.0,88.0,77.0,1.36
74,Bima,-7.795449520535229,119.47070938161141,0.0,ID,1522684025.0,100.0,75.68,2.26
75,Chokurdakh,71.77228074287049,144.59113145248853,20.0,RU,1522684017.0,31.0,-6.94,5.39
77,Ponta do Sol,31.177958929998923,-18.83390176595347,40.0,PT,1522683000.0,68.0,66.2,5.82
79,Khatanga,89.44680103648682,93.1849390362105,64.0,RU,1522684017.0,74.0,-6.67,11.65
81,Del Rio,29.83667993019111,-101.73289828700031,90.0,US,1522682340.0,88.0,69.8,11.41
82,Lebu,-35.96374489707223,-76.3792231628347,0.0,CL,1522684026.0,92.0,59.03,7.07
83,Vaini,-57.47032437506473,-172.81082604148128,90.0,TO,1522683600.0,100.0,75.2,13.87
84,Jamestown,-49.64747896674851,-17.464776565427172,8.0,SH,1522684018.0,100.0,75.23,14.0
85,Hobart,-48.10741185335273,147.21759862678158,75.0,AU,1522683000.0,58.0,59.0,13.87
86,Morehead,-8.759694457167512,141.10068741580835,36.0,PG,1522684027.0,93.0,77.48,5.84
87,Hermanus,-77.27947796804504,6.622749599261084,48.0,ZA,1522684019.0,62.0,73.25,4.27
88,Wellington,-41.65278869670697,174.60163561228188,0.0,NZ,1522683000.0,88.0,64.4,23.04
89,Saskylakh,87.08120254068353,110.38509575018321,0.0,RU,1522684028.0,57.0,-5.95,9.98
91,Taldan,54.29514691522692,125.38562652518107,56.0,RU,1522684020.0,35.0,24.65,14.67
92,Ribeira Grande,29.047486858921857,-32.663310377886546,20.0,PT,1522683000.0,59.0,62.6,25.28
93,Yumen,38.47000431555941,94.64331056297925,76.0,CN,1522684020.0,27.0,42.11,7.63
94,Bluff,-80.59453961037791,174.63441124311208,92.0,NZ,1522684029.0,100.0,57.86,31.34
95,Riyadh,23.53069312187769,48.11307891842557,32.0,SA,1522681200.0,17.0,84.2,9.17
96,Mlonggo,-5.896270903245409,109.999453661558,8.0,ID,1522684021.0,95.0,79.73,4.61
97,Upernavik,82.90091842602789,-52.78561867975466,8.0,GL,1522684021.0,93.0,21.05,12.88
98,Avarua,-40.44041980910958,-160.2951215489135,75.0,CK,1522681200.0,88.0,75.2,8.05
100,Townsville,-19.22454023238309,146.40162428044937,75.0,AU,1522683000.0,74.0,78.8,12.75
102,Helena,47.5958311922636,-112.62609665078637,90.0,US,1522680780.0,92.0,17.6,12.75
103,Myitkyina,25.30135105592835,97.86623399655849,12.0,MM,1522684031.0,85.0,69.92,1.36
104,Nabire,-4.3674569871707405,137.75241680347324,92.0,ID,1522684023.0,100.0,67.58,1.14
105,Puurmani,58.598672939548834,26.362720821667864,90.0,EE,1522680600.0,93.0,35.6,12.75
106,Barrow,69.51111379749912,-160.73662691791492,40.0,US,1522682100.0,79.0,26.73,11.41
107,Jiexiu,36.83468124334186,112.00638661397488,0.0,CN,1522684024.0,49.0,55.97,5.84
108,Dunajska Streda,47.921271603949265,17.794549484176258,0.0,SK,1522683000.0,35.0,56.23,4.7
109,Nanortalik,56.35888388737209,-45.06774577200335,48.0,GL,1522684024.0,100.0,35.09,30.33
110,Santo Domingo,12.384591006763799,-84.86004874020354,40.0,NI,1522681200.0,70.0,84.2,6.93
111,Santiago del Estero,-28.32961592079029,-63.95924608846519,36.0,AR,1522684024.0,68.0,76.22,6.62
113,Dali,23.95046650474113,99.4580717921366,8.0,CN,1522684024.0,74.0,52.73,3.15
114,Labuhan,-11.604522893563654,101.53202233198073,36.0,ID,1522684033.0,97.0,72.17,0.81
115,Havelock,33.89809665867094,-73.47119411767244,75.0,US,1522681080.0,57.0,72.28,11.41
116,Walvis Bay,-25.780251771338456,3.6986170514688013,92.0,NA,1522684025.0,90.0,68.57,4.27
117,Haines Junction,61.30205415615279,-138.54284684489164,68.0,CA,1522684025.0,74.0,13.04,7.74
118,Caravelas,-22.24198989487502,-23.937483676987284,0.0,BR,1522684025.0,100.0,81.71,9.19
119,Pedasi,6.3727807753240455,-80.00363485812856,0.0,PA,1522684034.0,94.0,75.77,13.67
120,Arraial do Cabo,-41.2745309590742,-26.653214080368627,20.0,BR,1522681200.0,62.0,91.45,5.82
121,Dikson,82.70859235973714,78.07617018224909,12.0,RU,1522684026.0,81.0,-4.6,6.85
123,Arkhangelskoye,54.15826882863095,56.63121685926069,92.0,RU,1522684027.0,96.0,33.92,16.24
124,San Patricio,14.053487743175268,-108.95528674630822,20.0,MX,1522680360.0,73.0,77.0,6.93
127,Beausejour,49.80650029618073,-96.59856978937822,5.0,CA,1522681200.0,45.0,5.0,12.75
128,Maceio,-16.008980218578756,-26.89553633361001,40.0,BR,1522681200.0,78.0,82.4,3.36
129,Tasiilaq,74.83317450892724,-32.977021537491055,0.0,GL,1522680600.0,68.0,24.8,2.24
130,Vallenar,-26.803950587912816,-76.13424297515748,24.0,CL,1522684028.0,80.0,62.54,2.93
131,Kaitangata,-52.81129459182295,173.84156919666066,48.0,NZ,1522684036.0,55.0,60.92,15.9
132,Bethel,50.21561719749022,-161.26649164172957,1.0,US,1522680780.0,79.0,21.2,19.46
133,Ilulissat,81.93947986029883,-42.66371055649327,40.0,GL,1522680600.0,58.0,24.8,1.12
134,Batemans Bay,-38.92174158050333,154.00316875939893,68.0,AU,1522684030.0,99.0,62.72,4.5
135,Sabha,26.38920106003434,17.368727347153765,12.0,LY,1522684038.0,14.0,87.29,13.0
137,Pevek,81.24101096733438,168.7689507131575,0.0,RU,1522684039.0,69.0,19.61,12.21
138,Georgetown,-4.310717004044889,-10.15938123309897,64.0,SH,1522684031.0,100.0,78.38,10.76
139,Talnakh,76.06355260095296,93.50901802362671,48.0,RU,1522684031.0,78.0,-8.11,6.96
140,Srednekolymsk,72.69351559638451,153.96762833566265,0.0,RU,1522684039.0,79.0,17.63,6.62
141,Phalaborwa,-23.119818662324676,32.19968296137213,0.0,ZA,1522684040.0,61.0,80.18,6.96
142,Deputatskiy,67.08760717565104,138.0139461381683,0.0,RU,1522684032.0,43.0,-15.4,2.04
143,Mercedes,-29.582567214741346,-57.908197209712995,36.0,AR,1522684032.0,84.0,76.58,8.41
144,Linqiong,30.38165816940075,103.24371254026738,0.0,CN,1522681200.0,82.0,64.4,2.15
145,Pizarro,1.9585395088936508,-78.64378933200302,88.0,CO,1522684032.0,96.0,78.47,4.61
146,San Juan,-30.94928419059817,-68.12020435467693,0.0,AR,1522684033.0,87.0,66.77,1.14
147,Leningradskiy,80.19637954619577,175.7339330612745,0.0,RU,1522684033.0,65.0,13.94,1.36
148,Miles City,46.589919707389896,-106.55532211912195,90.0,US,1522681740.0,92.0,24.8,16.11
149,Tuktoyaktuk,78.17432687819027,-135.6287920265305,75.0,CA,1522681200.0,77.0,-1.48,17.22
150,Cidreira,-39.719522154147874,-37.47297658430128,92.0,BR,1522684042.0,100.0,68.57,8.52
151,Caraballeda,11.99025910933652,-66.22408049302639,40.0,VE,1522681200.0,70.0,84.2,5.82
152,Lagoa,50.4497782358375,-30.22576403316134,75.0,PT,1522683000.0,93.0,62.6,10.29
153,San Carlos de Bariloche,-40.75996447703103,-71.4254191254149,0.0,AR,1522681200.0,47.0,59.0,2.24
154,Tautira,-18.286021058900218,-147.87072905859807,80.0,PF,1522683000.0,78.0,78.8,1.12
155,Pangnirtung,66.86577442900065,-62.684582581631076,75.0,CA,1522681200.0,55.0,35.6,17.22
156,Novyy Urengoy,65.89424844029782,76.00685368395636,44.0,RU,1522683842.0,59.0,-6.4,17.02
159,Lubuagan,17.245557154632877,121.22433847054293,92.0,PH,1522684035.0,98.0,65.6,1.36
160,Aklavik,78.85169013028258,-143.12778695574315,75.0,CA,1522681200.0,77.0,3.2,14.99
163,Coquimbo,-26.83442142845996,-86.62318143640184,90.0,CL,1522681200.0,77.0,59.0,3.36
164,Wanaka,-43.81433777405565,167.88934362337125,20.0,NZ,1522684036.0,57.0,55.52,9.75
165,Torbay,48.20030698385037,-51.38287668287967,20.0,CA,1522681200.0,65.0,41.0,27.51
166,Faanui,-15.57669770383869,-155.55389384575324,80.0,PF,1522684036.0,100.0,82.07,12.33
167,Xinyang,32.23217498951249,114.12649410141347,0.0,CN,1522684045.0,75.0,66.77,6.17
168,Mount Isa,-22.214949317680052,137.68621196091493,0.0,AU,1522683000.0,32.0,84.2,6.93
169,Vostok,50.026353014101375,150.2537709213404,92.0,RU,1522684045.0,100.0,44.99,6.4
170,Elko,41.21127376674252,-115.18712454823486,90.0,US,1522680960.0,54.0,48.2,13.87
171,Mahebourg,-37.92695960500394,69.0904087597595,75.0,MU,1522681200.0,78.0,82.4,4.7
172,Kiruna,66.65425101724568,18.976777528132203,40.0,SE,1522682400.0,73.0,26.6,8.05
173,Qaanaaq,80.06157459860904,-89.15486692215109,0.0,GL,1522684038.0,74.0,-0.01,6.62
175,Aykhal,68.9576474478892,109.0564989219339,20.0,RU,1522684038.0,52.0,-5.05,5.5
176,Bardiyah,31.653846800358224,24.752435628772872,8.0,LY,1522684038.0,87.0,62.45,17.36
177,Maragogi,-11.690742494993117,-30.755071973486167,68.0,BR,1522684047.0,100.0,79.82,4.94
178,Port Alfred,-49.21859515260771,33.43700308788502,44.0,ZA,1522684038.0,75.0,79.1,3.94
179,Meadow Lake,54.69382268210114,-108.38012530719261,75.0,CA,1522681200.0,71.0,5.0,5.82
180,Aleksandrov Gay,50.40913543433274,48.63813499556187,0.0,RU,1522684039.0,86.0,39.59,14.34
181,Nouakchott,17.47863936530547,-17.864218351479906,0.0,MR,1522684047.0,95.0,66.5,18.92
182,Oistins,10.643114921158627,-57.62581697256829,40.0,BB,1522681200.0,70.0,84.2,19.46
183,Katsuura,20.541679642815723,155.24071314099496,0.0,JP,1522684039.0,85.0,53.18,2.37
184,Viedma,-42.254155978778925,-62.45049177369758,0.0,AR,1522684040.0,56.0,73.88,10.65
185,Husavik,68.51906092439833,-13.77914964126623,40.0,IS,1522681200.0,95.0,32.0,2.24
186,Saint-Philippe,-55.27917836791581,72.78249796289231,75.0,RE,1522681200.0,74.0,80.6,4.7
187,Provideniya,63.9405439691846,-172.7411166126923,36.0,RU,1522684049.0,98.0,26.0,4.94
188,Kultuk,52.030396075556695,102.99955720920462,0.0,RU,1522684041.0,70.0,5.03,3.83
189,Mount Gambier,-52.892679958052604,131.23567196977166,92.0,AU,1522684049.0,85.0,59.03,2.93
190,Susanville,40.169079410912445,-121.08376831752926,75.0,US,1522683300.0,50.0,51.8,14.99
191,Teya,62.16781049978988,89.4260405774271,48.0,RU,1522684041.0,65.0,14.39,7.07
193,Moron,47.02150807623113,97.91958697524888,56.0,MN,1522684042.0,42.0,20.69,10.2
194,Podgornoye,57.73917879661451,83.03300444632487,80.0,RU,1522684042.0,83.0,25.82,6.73
196,Nemuro,34.728403476398,150.95567052900782,8.0,JP,1522684042.0,96.0,35.63,17.92
197,Honiara,-13.822686389156502,156.49281118768982,75.0,SB,1522681200.0,100.0,77.0,3.36
198,San Cristobal,-13.984864601196762,-92.75830077323113,36.0,EC,1522684042.0,100.0,64.79,2.15
199,Santa Vitoria do Palmar,-35.85806254988393,-49.28284197749397,76.0,BR,1522684043.0,90.0,72.8,11.21
200,Betare Oya,5.467749091660551,13.730856886907134,32.0,CM,1522684051.0,76.0,83.15,4.16
201,Shenjiamen,30.319785511263703,125.9672829797887,68.0,CN,1522684043.0,89.0,60.38,15.01
202,Ostrovnoy,70.92884118910672,40.906759239270855,64.0,RU,1522684052.0,91.0,24.92,10.54
203,Cabo San Lucas,18.088514450732788,-113.9191596787598,5.0,MX,1522680300.0,15.0,71.28,13.87
205,Puerto Madryn,-40.74151051471178,-65.82944380617693,0.0,AR,1522684044.0,59.0,72.35,12.1
206,Tabou,3.6337662715113623,-7.290758736330048,32.0,CI,1522684044.0,97.0,83.15,15.9
207,Jizan,16.935855465945636,42.812576092395375,20.0,SA,1522681200.0,59.0,89.6,9.17
208,Geraldton,-32.10585085134931,93.37145872647153,0.0,AU,1522683000.0,83.0,69.8,12.21
209,Sobolevo,54.264753678309035,157.15727033092088,80.0,RU,1522684045.0,88.0,37.7,17.36
210,Tetouan,35.58259654538638,-5.361671259664632,40.0,MA,1522683000.0,63.0,66.88,14.99
212,Rancho Palos Verdes,31.881274549697224,-119.35570431780579,90.0,US,1522683540.0,63.0,57.31,5.82
213,Klaksvik,64.75192783002035,-6.050052948493686,56.0,FO,1522682400.0,100.0,32.0,16.11
214,Le Vauclin,16.071845830631787,-58.225899689278265,92.0,MQ,1522681200.0,70.0,85.21,8.05
215,Bambous Virieux,-27.42749319485516,74.9554114760897,75.0,MU,1522681200.0,78.0,82.4,4.7
216,Ambilobe,-9.330212344377927,49.45868078706522,48.0,MG,1522684046.0,98.0,75.05,1.36
217,Bastos,-22.05412808032051,-50.83340485112842,64.0,BR,1522684046.0,87.0,76.76,7.18
218,Spearfish,44.15368473249262,-104.14263544519238,90.0,US,1522683300.0,100.0,29.8,10.29
219,Kelvington,52.1767555537119,-103.34979073248562,24.0,CA,1522684046.0,77.0,-1.63,7.52
220,New Norfolk,-55.95652883476801,138.7371815579424,75.0,AU,1522683000.0,58.0,59.0,13.87
221,Segou,13.341041076110926,-6.361051932261802,56.0,ML,1522684055.0,25.0,100.88,8.41
222,Cazones,20.920754929454034,-96.96168979409944,75.0,MX,1522680300.0,83.0,77.0,5.82
223,Sao Paulo de Olivenca,-3.3369779607217964,-69.52420315413006,92.0,BR,1522684056.0,88.0,81.17,2.93
225,Kodiak,43.56925124777845,-145.9197656734782,90.0,US,1522680780.0,92.0,23.0,9.17
226,Tiksi,76.16267141984301,132.45835623288366,0.0,RU,1522684048.0,50.0,-9.01,2.37
227,Hofn,68.20972542754777,-12.677696252053693,80.0,IS,1522684056.0,100.0,30.5,11.43
228,Dalnegorsk,44.63244778097885,135.66610672216308,92.0,RU,1522684057.0,88.0,38.69,4.16
229,Inta,68.43005759205408,59.02885183277928,0.0,RU,1522684057.0,68.0,10.16,2.48
230,Bilibino,68.19963869347526,163.8906160139901,0.0,RU,1522684049.0,82.0,11.15,2.59
231,Gidole,4.8331024751640825,37.24470154055467,24.0,ET,1522684058.0,75.0,74.33,2.15
232,Gravdal,69.66844535022764,12.124591031770848,40.0,NO,1522682400.0,64.0,39.34,5.82
233,Trogir,42.96441734508423,16.236951942693878,20.0,HR,1522683000.0,67.0,59.0,6.93
234,Pauini,-7.684456797760021,-66.29355690643725,12.0,BR,1522684059.0,82.0,84.23,3.71
235,Harlingen,54.343625271697675,5.336249284102053,90.0,NL,1522682700.0,87.0,45.3,12.75
239,Vicksburg,32.514330620221955,-90.77711577066563,90.0,US,1522682100.0,100.0,66.25,4.7
240,Forio,40.000753048899185,12.876662682251947,0.0,IT,1522682400.0,55.0,61.41,8.05
241,Neyshabur,35.792022908253486,59.063988563244294,0.0,IR,1522684060.0,70.0,54.53,2.04
242,Kilindoni,-7.738629412980032,41.350899218101176,24.0,TZ,1522684052.0,100.0,82.25,9.53
244,Jumla,35.07986989362499,85.50188620734832,24.0,NP,1522684052.0,79.0,30.05,1.59
245,Lodwar,2.8410481436052493,35.12948504760237,12.0,KE,1522684053.0,50.0,85.85,10.31
246,Cajetina,43.77956307045761,19.78543527216968,40.0,RS,1522683000.0,69.0,57.87,4.7
247,Waddan,28.747489030758388,17.382881694157646,20.0,LY,1522684053.0,28.0,75.32,8.41
248,Kamenka,42.79138713572519,137.15807068450403,68.0,RU,1522684053.0,90.0,34.37,18.03
249,Cocachacra,-16.88673673422238,-71.78863880867351,0.0,PE,1522684062.0,37.0,76.04,3.94
250,Karlstad,59.6702565511541,13.810664213404579,0.0,SE,1522682400.0,25.0,39.2,8.05
251,Renqiu,38.650932577189195,116.13791772008176,0.0,CN,1522684063.0,50.0,68.93,11.43
252,Muros,42.64731964559277,-16.267393921307274,75.0,ES,1522683180.0,87.0,53.6,18.34
253,Beruwala,6.295063766765054,79.97981946700236,32.0,LK,1522684055.0,98.0,83.33,5.73
254,Half Moon Bay,32.382626836537625,-131.89664066164488,75.0,US,1522683600.0,87.0,53.4,13.87
255,Port Hardy,50.441085777804545,-128.64491320035853,20.0,CA,1522681200.0,97.0,32.0,4.7
256,Chernyshevskiy,64.11242819507734,111.98242363357673,32.0,RU,1522684055.0,59.0,4.67,6.29
257,Tolga,62.421006174616366,11.004641982343486,56.0,NO,1522682400.0,50.0,30.2,4.7
258,Najran,19.598148836396348,47.192769323771984,76.0,SA,1522684056.0,17.0,82.79,7.96
259,Chapais,52.39605625824234,-76.1796163082471,90.0,CA,1522683720.0,67.0,19.4,16.11
260,Karabuk,40.83938578072721,32.72775155394848,44.0,TR,1522684065.0,71.0,46.88,4.38
261,Fez,33.382754364550635,-4.214924728445595,75.0,MA,1522683000.0,72.0,63.32,6.93
262,Makushino,55.064231105755226,66.92411035966248,24.0,RU,1522684057.0,85.0,25.19,6.06
263,Cayenne,17.349788222383268,-43.32353980452575,75.0,GF,1522681200.0,70.0,86.0,14.99
264,Peniche,41.03489912115893,-16.94056598148825,75.0,PT,1522683000.0,82.0,60.8,12.75
265,Ambulu,-11.39257065429834,113.24400963342327,32.0,ID,1522684057.0,100.0,79.19,0.47
266,Antalaha,-14.774618831479543,52.04146056445873,88.0,MG,1522684057.0,97.0,77.03,6.51
267,Grindavik,58.45642677349977,-25.37998165459777,90.0,IS,1522681200.0,100.0,33.8,12.75
269,Lerwick,60.21026113084747,-0.40121351618748236,20.0,GB,1522682400.0,100.0,40.1,13.87
270,Matara,-1.4531413789421634,81.234012366211,48.0,LK,1522684058.0,91.0,82.07,6.62
271,Fukue,31.543861977360436,125.92437108063257,0.0,JP,1522681200.0,72.0,62.6,7.96
272,Keflavik,64.37022583130326,-22.64561901668975,90.0,IS,1522681200.0,100.0,33.8,12.75
273,Mazyr,51.88929791888964,29.680241800538255,92.0,BY,1522684067.0,99.0,36.8,17.92
274,Gelemso,8.710812568191159,40.28049066860004,64.0,ET,1522684059.0,70.0,67.85,3.27
275,Xining,33.32633651656258,99.32823432456439,0.0,CN,1522684059.0,50.0,37.61,5.17
276,Vanimo,0.5183995596492394,141.2196799400374,76.0,PG,1522684068.0,100.0,82.7,14.79
277,Nouadhibou,22.13169356077195,-20.780526190960813,0.0,MR,1522681200.0,56.0,71.6,18.34
279,Nuuk,63.05726377390454,-51.40555777739894,20.0,GL,1522680600.0,44.0,39.2,1.12
280,Mehamn,78.01145343183117,28.904041731872468,20.0,NO,1522682400.0,73.0,27.63,4.7
281,Teguldet,59.75192425777345,88.03381157197941,76.0,RU,1522684060.0,80.0,23.3,5.84
282,Havre-Saint-Pierre,50.71898855863873,-64.0848419214914,20.0,CA,1522681200.0,58.0,26.6,18.34
283,Pechenga,69.45575569832167,31.980431851977528,88.0,RU,1522684060.0,91.0,40.04,22.06
284,Lawrenceburg,35.22337161845884,-87.71384767743385,90.0,US,1522682100.0,100.0,52.99,4.7
285,Constantine,35.2361517482297,6.454043774173812,0.0,DZ,1522683000.0,33.0,71.6,12.75
286,Colac,-40.47202441447793,143.62629169020516,100.0,AU,1522684070.0,83.0,59.3,3.49
287,Brae,65.1886225401937,-2.0850051391338695,20.0,GB,1522682400.0,100.0,39.97,13.87
288,Juneau,58.478294958965876,-133.0143654485788,75.0,US,1522680960.0,37.0,34.83,5.82
289,Areosa,41.48913542331459,-11.424696812476782,90.0,PT,1522683000.0,93.0,55.4,18.34
290,Ketchikan,50.69672446335386,-135.75092900412366,90.0,US,1522680780.0,80.0,31.84,3.36
291,Lorengau,10.689102173519743,148.30381285727208,64.0,PG,1522684071.0,100.0,81.98,13.11
292,Namibe,-19.812068004546475,6.1181714996550625,0.0,AO,1522684063.0,100.0,80.0,8.97
293,Monticello,33.57005876939404,-91.73453187671788,90.0,US,1522681860.0,93.0,45.97,3.36
294,Coruripe,-10.100644852711255,-35.81997405326007,12.0,BR,1522684064.0,93.0,82.52,8.63
295,Ikalamavony,-20.994295879159154,46.55044343209872,76.0,MG,1522684064.0,85.0,66.5,2.93
296,Poum,-20.203799919462924,157.78132087108446,92.0,NC,1522684064.0,100.0,79.55,15.01
297,Henties Bay,-21.472018568071547,4.219604682834756,92.0,NA,1522684073.0,90.0,71.9,7.96
298,Aswan,22.57908852280174,32.91037351348328,0.0,EG,1522681200.0,7.0,93.2,6.93
299,Aljezur,35.944170245066715,-12.78061159586926,48.0,PT,1522684065.0,93.0,60.92,9.98
300,Narsaq,87.53738397864433,-61.20081970887091,75.0,GL,1522680600.0,24.0,46.4,20.8
301,Turukhansk,64.93846522778287,89.39405306297618,64.0,RU,1522684074.0,82.0,-1.9,8.63
303,Port Lavaca,28.088572983767733,-96.19983959792015,90.0,US,1522682100.0,78.0,76.37,11.41
